2019-03-29T00:00:00Z, RFTMIN, 23, 66_655_24538
2019-03-29T00:00:00Z, PROPRCP, 3, 66_655_24538
2019-03-30T00:00:00Z, PRCP, 0, 66_655_24538
2019-03-30T00:00:00Z, TMAX, 34, 66_655_24538
2019-03-30T00:00:00Z, TMIN, 20, 66_655_24538
2019-03-30T00:00:00Z, WNDDIR, 250, 66_655_24538
2019-03-30T00:00:00Z, WNDSPD, 2, 66_655_24538
2019-03-30T00:00:00Z, CLOUDC, 78, 66_655_24538
2019-03-30T00:00:00Z, HPRCP, 0.5, 66_655_24538
2019-03-30T00:00:00Z, HSUN, 4.2, 66_655_24538
2019-03-30T00:00:00Z, RFTMAX, 38, 66_655_24538
2019-03-30T00:00:00Z, RFTMIN, 22, 66_655_24538
2019-03-30T00:00:00Z, PROPRCP, 25, 66_655_24538
2019-03-31T00:00:00Z, PRCP, 7, 66_655_24538
2019-03-31T00:00:00Z, TMAX, 34, 66_655_24538
2019-03-31T00:00:00Z, TMIN, 21, 66_655_24538
2019-03-31T00:00:00Z, WNDDIR, 267, 66_655_24538
2019-03-31T00:00:00Z, WNDSPD, 2, 66_655_24538
2019-03-31T00:00:00Z, CLOUDC, 46, 66_655_24538
2019-03-31T00:00:00Z, HPRCP, 3, 66_655_24538
2019-03-31T00:00:00Z, HSUN, 7.5, 66_655_24538
2019-03-31T00:00:00Z, RFTMAX, 40, 66_655_24538
2019-03-31T00:00:00Z, RFTMIN, 23, 66_655_24538
2019-03-31T00:00:00Z, PROPRCP, 56, 66_655_24538
2019-04-01T00:00:00Z, PRCP, 10, 66_655_24538
2019-04-01T00:00:00Z, TMAX, 30, 66_655_24538
2019-04-01T00:00:00Z, TMIN, 19, 66_655_24538
2019-04-01T00:00:00Z, WNDDIR, 244, 66_655_24538
2019-04-01T00:00:00Z, WNDSPD, 1, 66_655_24538
2019-04-01T00:00:00Z, CLOUDC, 89, 66_655_24538
2019-04-01T00:00:00Z, HPRCP, 2, 66_655_24538
2019-04-01T00:00:00Z, HSUN, 2.4, 66_655_24538
2019-04-01T00:00:00Z, RFTMAX, 36, 66_655_24538
2019-04-01T00:00:00Z, RFTMIN, 20, 66_655_24538
2019-04-01T00:00:00Z, PROPRCP, 56, 66_655_24538
2019-04-02T00:00:00Z, PRCP, 1, 66_655_24538
2019-04-02T00:00:00Z, TMAX, 33, 66_655_24538
2019-04-02T00:00:00Z, TMIN, 19, 66_655_24538
2019-04-02T00:00:00Z, WNDDIR, 54, 66_655_24538
2019-04-02T00:00:00Z, WNDSPD, 1, 66_655_24538
2019-04-02T00:00:00Z, CLOUDC, 79, 66_655_24538
2019-04-02T00:00:00Z, HPRCP, 0.5, 66_655_24538
2019-04-02T00:00:00Z, HSUN, 2.9, 66_655_24538
